ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field Type=\"Text\" DisplayName=\"SettingValue\" Name=\"field_1\" ID=\"{ae4ea473-7c2c-4f28-8b87-3aa1f9ccc1a5}\" StaticName=\"field_1\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"DataType\" FillInChoice=\"TRUE\" Format=\"Dropdown\" Name=\"field_2\" Title=\"DataType\" Type=\"Choice\" ID=\"{c6f09277-d06d-46cb-a309-f868d649a433}\" StaticName=\"field_2\"><CHOICES><CHOICE>Text</CHOICE><CHOICE>Number</CHOICE><CHOICE>YesNo</CHOICE></CHOICES></Field>","<Field ID=\"{86d350cf-88d3-41f5-a65f-4d0e8f83d8bd}\" DisplayName=\"Notes\" Name=\"field_3\" StaticName=\"field_3\" Type=\"Note\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"SettingName\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"SettingName","SettingValue","DataType","Notes"
"PrimaryRoutingMethod","DeliveryListHeader","Text","Use delivery list headers as the source of truth for bay routing."
"TemperedBayCategory","Tempered","Text","TEMPERED headers route to blue bays 12-16."
"MirrorAnnealedBayCategory","MirrorAnnealed","Text","MIRROR, BFS MIRROR, and ANNEALED headers route to Mirror/BFS mirror bays."
"CoralAutoAssign","No","YesNo","Red bays 1-11 are Coral right now and are not used by our automation."
"IgnoreOtherProductBays","Yes","YesNo","Yellow/light blue middle bays are ignored for Indian Trail glass automation in v1."
"OversizedIsManualDecision","Yes","YesNo","Receiving decides oversized manually based on size and weight."
"OversizedAutoAssign","No","YesNo","Do not auto-assign oversized material in v1."
"OversizedMaxLengthReference","105","Number","Reference only; not an automatic rule yet."
"OversizedMaxWidthReference","56","Number","Reference only; not an automatic rule yet."
"DefaultFullBayAction","ManualException","Text","If no valid bay exists, create/show manual exception instead of guessing."
"OneBayPerOrderDefault","Yes","YesNo","Assume one bay per order in v1."
"AllowManualExtraBayForLargeOrders","Yes","YesNo","Rare large orders can be manually split into another bay later."
"BayClearingMode","ManualWalkaround","Text","Morning clearing uses a map/walkaround form, not a clear-all button."
"SDIAlertOnlyAtIndianTrail","Yes","YesNo","SDI warning popup only fires when scanned at Indian Trail."
